               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028115,            0.010758,            0.042481,             0.59889,             0.81586,             0.80957,              0.6358,            0.012213,           0.0031585,            0.020184,            0.009307,            0.009307,            0.009307
                  37,            0.028596,            0.011227,            0.043433,             0.55081,             0.80346,             0.77271,             0.59001,            0.014339,            0.003415,            0.020546,           0.0092872,           0.0092872,           0.0092872
                  38,            0.027558,            0.010274,            0.043636,             0.56124,             0.77217,             0.77003,             0.56572,            0.014086,           0.0029279,            0.022042,           0.0092674,           0.0092674,           0.0092674
                  39,            0.028676,            0.010689,            0.043268,             0.50835,             0.84887,              0.8044,             0.58299,            0.014219,           0.0031476,            0.019545,           0.0092476,           0.0092476,           0.0092476
                  40,            0.027458,            0.010706,            0.039489,             0.55444,             0.79834,             0.80043,             0.58659,            0.014133,           0.0029899,            0.018535,           0.0092278,           0.0092278,           0.0092278
                  41,            0.025879,            0.010451,            0.039317,             0.68918,             0.79154,             0.85549,             0.64508,            0.013926,           0.0029166,            0.016314,            0.009208,            0.009208,            0.009208
                  42,            0.028118,            0.010145,            0.039395,             0.56108,             0.83284,             0.84398,             0.65172,            0.014034,           0.0029063,            0.017939,           0.0091882,           0.0091882,           0.0091882
                  43,            0.026311,            0.010664,            0.039153,             0.76281,             0.75407,             0.83193,              0.6225,            0.013991,           0.0029051,            0.015697,           0.0091684,           0.0091684,           0.0091684
                  44,            0.030603,            0.010485,            0.038494,             0.66773,              0.7896,             0.82273,             0.62271,            0.014323,           0.0029798,            0.016587,           0.0091486,           0.0091486,           0.0091486
                  45,            0.027683,            0.010507,            0.036058,             0.68917,             0.77782,             0.84269,             0.64388,            0.013459,           0.0028365,            0.018562,           0.0091288,           0.0091288,           0.0091288
                  46,            0.026679,            0.010641,            0.036237,              0.6122,             0.86341,             0.84565,             0.66031,            0.012735,           0.0029136,            0.015767,            0.009109,            0.009109,            0.009109
                  47,            0.025781,           0.0098847,             0.03469,             0.64399,             0.78414,             0.84843,             0.61408,            0.016573,           0.0029862,            0.016699,           0.0090892,           0.0090892,           0.0090892
                  48,            0.026795,            0.010615,            0.039019,             0.84476,             0.70966,             0.84592,             0.62704,            0.015956,            0.002985,            0.017506,           0.0090694,           0.0090694,           0.0090694
                  49,             0.02888,            0.010268,            0.038973,             0.69628,             0.85538,             0.85864,             0.69323,            0.014235,           0.0028357,            0.013794,           0.0090496,           0.0090496,           0.0090496
                  50,            0.026503,             0.01009,             0.03502,             0.69966,             0.83198,             0.87028,             0.67482,            0.014914,            0.003119,            0.013142,           0.0090298,           0.0090298,           0.0090298
                  51,            0.026264,            0.010388,            0.035816,             0.80681,             0.78712,             0.87143,             0.64899,             0.01324,           0.0032207,            0.012242,             0.00901,             0.00901,             0.00901
